Word,Length,Freq_HAL,Log_Freq_HAL,I_Mean_RT,I_Zscore,I_SD,Obs,I_Mean_Accuracy,Difficulty
a,1,10610626,16.18,798.92,-0.01,333.85,24.0,0.73,0.0043455058321262485
aah,3,222,5.4,816.43,0.21,186.03,21.0,0.62,0.6452694975985362
aaron,5,10806,9.29,736.06,-0.11,289.01,32.0,0.97,0.1797158903204493
aback,5,387,5.96,796.27,0.11,171.61,15.0,0.45,0.5634672562323703
abacus,6,513,6.24,964.4,0.65,489.0,15.0,0.47,0.777794719320983
abandon,7,3761,8.23,695.72,-0.31,220.41,32.0,0.97,0.2037051154989708
abandoned,9,5160,8.55,860.77,-0.09,447.56,31.0,0.91,0.424334832659907
abandoning,10,1005,6.91,740.55,-0.11,288.44,33.0,1.0,0.37894843841325504
abandonment,11,786,6.67,771.09,0.0,229.53,34.0,1.0,0.4541943025590201
abase,5,30,3.4,803.27,0.03,309.52,22.0,0.69,0.7775405961729054
abasement,9,7,1.95,1037.06,0.92,311.84,17.0,0.53,0.9687936774160758
abash,5,1,0.0,748.71,0.23,194.37,21.0,0.68,0.8962923432695484
abate,5,279,5.63,719.54,-0.09,180.88,24.0,0.71,0.46613809051866534
abated,6,144,4.97,894.23,0.45,289.82,22.0,0.69,0.7798531168204111
abbess,6,33,3.5,885.14,0.28,324.2,7.0,0.22,0.8533201189296333
abbey,5,2286,7.73,726.19,-0.1,235.91,21.0,0.66,0.2851261721430205
abbot,5,616,6.42,808.58,0.21,268.65,24.0,0.71,0.5410281822571218
abbreviate,10,203,5.31,795.03,0.16,316.55,31.0,0.94,0.6210769739015527
abbreviated,11,1214,7.1,698.45,-0.25,170.37,31.0,0.94,0.29719702167670453
abbreviation,12,1908,7.55,728.91,-0.02,163.59,33.0,1.0,0.3046936545449925
abbreviations,13,2480,7.82,729.13,-0.12,218.3,31.0,0.91,0.2821021066808976
abdicate,8,118,4.77,1056.0,0.84,475.66,18.0,0.56,0.9158852379863281
abdomen,7,1279,7.15,813.43,0.03,315.23,30.0,0.88,0.4801911006073543
abdominal,9,850,6.75,715.55,-0.13,191.24,31.0,0.94,0.35353612360549924
abduct,6,180,5.19,769.67,0.03,251.22,30.0,0.88,0.5915224517801326
abduction,9,1995,7.6,795.88,0.01,245.03,32.0,0.94,0.40652079997967017
abe,3,1235,7.12,820.67,0.08,254.99,33.0,1.0,0.4942949353256588
abed,4,143,4.96,887.5,0.5,319.02,10.0,0.29,0.7731950903407792
abel,4,1009,6.92,782.75,-0.24,328.75,20.0,0.65,0.44979797209727834
aberrant,8,166,5.11,955.38,0.55,487.31,13.0,0.38,0.8342608828238164
