Word,Difficulty
abandon,0.1439526
abandonment,0.46437556
abbreviation,0.39089286
abeyance,0.89993566
abide,0.4459218
ability,0.07516488
abnormal,0.31228447
aboard,0.07517301
abolish,0.1439303
abolition,0.3909331
abortion,0.28976905
abortive,0.727439
abridge,0.79647994
abrogate,0.6649054
abrupt,0.28214377
absence,0.19219229
absent,0.2388999
absolute,0.23057514
absolutely,0.34582523
absorb,0.14705917
absorption,0.586435
abstract,0.48814797
absurd,0.24927995
absurdity,0.6788437
abundance,0.36006364
abundant,0.15607801
abuse,0.13218875
academic,0.14727248
academy,0.069548704
accede,0.70220065
accelerate,0.28641894
acceleration,0.411641
access,0.07569721
accessible,0.24059068
accessory,0.14074917
accident,0.12881732
accidental,0.31035805
accidentally,0.37226456
accommodate,0.32003924
accommodation,0.50346196
accompaniment,0.567678
accompany,0.24247573
accomplish,0.29738274
accomplishment,0.42032957
accord,0.07425121
account,0.07663184
accountant,0.19714111
accounting,0.20777376
accrue,0.3037043
accumulate,0.32507813
accumulation,0.5297417
accuracy,0.10800152
accurate,0.2853307
accusation,0.3175035
accuse,0.1328282
achieve,0.13654998
achievement,0.22759171
acid,0.2547703
acknowledge,0.25144273
acquaint,0.51924884
acquaintance,0.53465784
acquainted,0.6549744
acquire,0.1768792
acquisition,0.47290105
across,0.19750006
activate,0.23095594
actively,0.30632824
actual,0.13678552
actually,0.13867885
acute,0.20737723
adapt,0.19027402
adaptation,0.5516465
additional,0.22305776
additive,0.18977197
address,0.1786507
adequate,0.14325304
adhere,0.36792254
adhesive,0.5280457
adjacent,0.20685963
adjoin,0.77676916
adjust,0.12819996
adjustment,0.2544365
administer,0.384448
administration,0.42268965
administrative,0.6568384
admiration,0.61452806
admire,0.20407441
admission,0.2799614
admit,0.14387666
admittedly,0.62078416
adolescence,0.49324512
adolescent,0.35590157
adopt,0.24895824
adoption,0.123251244
adore,0.37876114
adorn,0.56172776
adornment,0.80186254
adult,0.07475838
advance,0.11268037
advanced,0.20348331
adventure,0.1309602
adventurous,0.651145
adversary,0.41303164
adverse,0.2126415
adversity,0.502514
advertise,0.2767001
advisable,0.76094645
advocate,0.16890451
aerial,0.437521
affect,0.117715605
affection,0.41648448
affectionate,0.7998813
affiliate,0.32263827
affirm,0.2626025
affirmation,0.3133357
affirmative,0.34978345
afford,0.23753211
affordable,0.6740697
agency,0.12491877
agent,0.10064671
aggravate,0.75572383
aggregate,0.5575593
aggregation,0.7202523
aggressive,0.24077533
aggressor,0.49440598
agitate,0.6260312
agitation,0.6540292
agony,0.1769416
agreeable,0.51468176
agreement,0.1861375
agriculture,0.52581483
aid,0.13201453
ailment,0.6281077
aim,0.14727657
air,0.077748336
aircraft,0.2748222
aisle,0.27193892
ajar,0.5865909
alarm,0.09404022
album,0.07812489
alert,0.15960233
alien,0.18300541
